<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
MAITHANALL,20201126,546.95,557,542,552.4,18628,9495
MAJESCO,20201126,966,966,948.9,957.9,246321,224025
MALUPAPER,20201126,24.5,25.5,24.25,25,25833,10877
MAN50ETF,20201126,131.5,132.8,130.7,132.79,51903,47727
MANAKALUCO,20201126,7.5,7.5,7.15,7.4,5083,4321
MANAKCOAT,20201126,5.55,5.85,5.35,5.5,5080,4980
MANAKSIA,20201126,42.8,43.55,42.6,43.05,24351,18374
MANAKSTEEL,20201126,13,13.25,12.55,13,39904,28580
MANALIPETC,20201126,33.15,34.5,33.15,34.25,521970,292171
MANAPPURAM,20201126,168.8,173.7,165.35,172.65,11102603,1548784
MANGALAM,20201126,150,151.5,147.6,148.3,58986,33462
MANGCHEFER,20201126,35.15,37.6,34.55,36.8,1820158,745266
MANGLMCEM,20201126,212,217.9,212,216.65,25923,14543
MANGTIMBER,20201126,9.45,9.45,9,9,18305,11990
MANINDS,20201126,72.05,72.8,70.9,72.05,123385,67538
MANINFRA,20201126,26.6,27,26.15,26.7,191713,77566
MANUGRAPH,20201126,10.3,10.4,9.75,10.35,4563,4043
MANXT50,20201126,305,305,295.83,299.67,957,722
MARALOVER,20201126,17.6,17.75,16.15,17.4,32945,21894
MARATHON,20201126,73.5,77.1,73.35,75.5,13175,10285
MARICO,20201126,369.95,376.35,368.15,373.95,2340679,857226
MARKSANS,20201126,58.3,59.4,57.3,58.7,1728133,589365
MARUTI,20201126,7080,7098,6903,6994.25,1068945,283794
MASFIN,20201126,1026.7,1054,985,1013.4,18062,10429
MASKINVEST,20201126,36.75,36.75,36.5,36.5,120,0
MASTEK,20201126,984.7,984.95,955,970.85,41388,24910
MATRIMONY,20201126,710.1,723.5,706.55,713.15,4126,2593
MAWANASUG,20201126,24.7,26.05,24.3,26.05,356979,181297
MAXHEALTH,20201126,124.55,126.2,123.75,124.1,183023,107221
MAXIND,20201126,58.9,59.8,58.9,59.6,112168,78771
MAXVIL,20201126,42.25,43.5,42,43.05,85361,54455
MAYURUNIQ,20201126,263.55,272.2,261.1,271.2,84114,31303
MAZDA,20201126,580.05,580.05,560,572.15,4225,2497
MAZDOCK,20201126,180.45,181.45,178.35,179.25,1109635,350414
MBAPL,20201126,68,70,68,70,24,0
MBECL,20201126,5.4,5.45,5.15,5.35,233472,0
MBLINFRA,20201126,9.05,9.25,8.65,9.05,54411,43371
MCDHOLDING,20201126,24.1,24.2,23.65,24.1,20771,14113
MCDOWELL-N,20201126,552,559.45,550.55,557,2490769,1681248
MCL,20201126,60,61.95,58.35,60.5,11493,8845
MCLEODRUSS,20201126,23.75,24.3,22.8,23.55,1390644,510681
MCX,20201126,1625,1644.9,1604.85,1612.7,251597,139144
MEGASOFT,20201126,8.1,8.35,7.9,8,19143,16893
MEGH,20201126,75.6,80.7,75.25,79.15,3911987,1131333
MENONBE,20201126,48,49.55,46.6,49,33024,0
MEP,20201126,14,14.15,13.9,14,29156,20856
MERCATOR,20201126,0.85,0.85,0.8,0.85,308484,299477
METALFORGE,20201126,4.5,4.5,4.25,4.4,5193,4591
METROPOLIS,20201126,2190.05,2210.9,2166.35,2173.95,80438,57980
MFSL,20201126,630.4,639.35,624.95,637.15,417909,128921
MGL,20201126,927.1,937.9,921.15,929.05,488047,131676
MHRIL,20201126,181.6,191.9,181,187.65,296055,148873
MIC,20201126,0.8,0.85,0.75,0.8,16002,0
MIDHANI,20201126,193,193,189,191.75,279484,103550
MINDACORP,20201126,76.55,80.8,76.25,80.1,2577935,1135545
MINDAIND,20201126,379.9,383.95,374.9,379.8,57633,18661
MINDTECK,20201126,34.85,36.3,33.4,36.2,46845,33609
MINDTREE,20201126,1379.9,1402,1348.65,1391.6,759889,98796
MIRCELECTR,20201126,8.1,8.3,8,8.2,154598,112355
